id,name,cost,mile,gear,seller,address,web,webid,date
11,2018 Mazda CX-5 2.0 SP SUV ✨ มีรถรุ่นนี้ให้เลือกถึง 2 คัน ✨,"699,000
                                            
","111,939",เกียร์อัตโนมัติ,"

                                                Car Village
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-5-2-0-sp-bangkok/2018-suv-มีรถรุ่นนี้ให้เลือกถึง-2-คัน-aid24223342
",2023-10-27
12,2020 Mazda CX-8 2.5 SP SUV,"1,055,000
                                            
","111,939",เกียร์อัตโนมัติ,"

                                                Car Village
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-8-2-5-sp-bangkok/2020-suv-aid24223362
",2023-10-27
13,2021 Mazda CX-8 2.2 XDL Exclusive 4WD SUV,"1,249,000
                                            
","111,939",เกียร์อัตโนมัติ,"

                                                Car Village
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-8-2-2-xdl-exclusive-4wd-bangkok/2021-suv-aid24226532
",2023-10-27
14,2018 Mazda CX-5 2.2 XDL 4WD SUV,"679,000
                                            
","111,939",เกียร์อัตโนมัติ,"

                                                Car Village
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-5-2-2-xdl-4wd-bangkok/2018-suv-aid24382692
",2023-10-27
15,2010 Mazda 2 1.5 Groove รถเก๋ง 4 ประตู ฟรีดาวน์,"199,000
                                            

                                                ฿169,000
                                            
","123,068",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-groove-bangkok/010-รถเก๋ง-4-ประตู-ฟรีดาวน์-aid24357402
",2023-10-27
16,ขายรถ Mazda 3 2.0 S ปี2017 รถเก๋ง 4 ประตู,"448,000
                                            
","128,976",เกียร์อัตโนมัติ,"

                                                IMPRESS CAR
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-s-bangkok/ขายรถ-ปี-2017-รถเก๋ง-4-ประตู-aid24414352
",2023-10-27
17,Mazda 2 1.3 S Sports LEATHER 5 ประตู 2019,"410,000
                                            
","97,000",เกียร์อัตโนมัติ,"

                                                จริงใจยูสต์คาร์
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-sports-leather-bangkok/5-ประตู-019-aid24244482
",2023-10-27
18,"🔥 Mazda 2 1.3 Skyactiv Sports High Connect ผ่อน 6,xxx ฟรี! ทดลองขับถึงบ้าน","409,200
                                            
","88,736",เกียร์อัตโนมัติ,"

                                                Cars24
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-sports-high-connect-bangkok/1-3-skyactiv-sports-high-connect-ผ่อน-6-xxx-ฟรี-ทดลองขับถึงบ้าน-aid24299702
",2023-10-27
19,2015 Mazda 2 1.5 XD Sports High รถเก๋ง 5 ประตู ฟรีดาวน์,"319,000
                                            

                                                ฿299,000
                                            
","120,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-xd-sports-high-bangkok/015-รถเก๋ง-5-ประตู-ฟรีดาวน์-aid24354442
",2023-10-27
20,"🔥 Mazda 2 1.3 Skyactiv Sports High Plus ผ่อน 6,xxx ฟรี! ทดลองขับถึงบ้าน","417,400
                                            

                                                ฿390,700
                                            
","80,068",เกียร์อัตโนมัติ,"

                                                Cars24
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-sports-high-plus-bangkok/1-3-skyactiv-sports-high-plus-ผ่อน-6-xxx-ฟรี-ทดลองขับถึงบ้าน-aid24297602
",2023-10-27
21,2012 Mazda 2 1.5 Sports Groove รถเก๋ง 5 ประตู ฟรีดาวน์,"198,000
                                            
","110,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-sports-groove-bangkok/01-รถเก๋ง-5-ประตู-ฟรีดาวน์-aid24354372
",2023-10-27
22,2017 Mazda 2 1.3 Sports High Plus รถเก๋ง 5 ประตู ดาวน์ 0%,"379,000
                                            
","80,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-sports-high-plus-bangkok/017-รถเก๋ง-5-ประตู-ดาวน์-0-aid24354362
",2023-10-27
23,2012 Mazda 2 1.5 Spirit รถเก๋ง 4 ประตู ออกรถง่าย,"198,000
                                            
","110,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-spirit-bangkok/01-รถเก๋ง-4-ประตู-ออกรถง่าย-aid24354332
",2023-10-27
24,2011 Mazda 2 1.5 Groove รถเก๋ง 5 ประตู ฟรีดาวน์,"179,000
                                            
","190,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",ขอนแก่น,chobrod,"car-mazda-2-1-5-groove-khonkaen/011-รถเก๋ง-5-ประตู-ฟรีดาวน์-aid24297722
",2023-10-27
25,2012 Mazda 2 1.5 Spirit รถเก๋ง 4 ประตู,"198,000
                                            
","104,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-spirit-bangkok/01-รถเก๋ง-4-ประตู-aid24360632
",2023-10-27
26,2016 Mazda 2 1.5 XD High Plus รถเก๋ง 4 ประตู ฟรีดาวน์,"349,000
                                            
","140,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-xd-high-plus-bangkok/016-รถเก๋ง-4-ประตู-ฟรีดาวน์-aid24375952
",2023-10-27
27,2018 Mazda 2 1.3 High Connect รถเก๋ง 4 ประตู ออกรถ 0 บาท,"379,000
                                            

                                                ฿349,000
                                            
","90,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-connect-bangkok/018-รถเก๋ง-4-ประตู-ออกรถ-0-บาท-aid24375902
",2023-10-27
28,2016 Mazda 3 2.0 S รถเก๋ง 5 ประตู ดาวน์ 0%,"419,000
                                            
","160,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",ประจวบคีรีขันธ์,chobrod,"car-mazda-3-2-0-s-prachuapkhirikhan/2016-รถเก๋ง-5-ประตู-ดาวน์-0-aid24375982
",2023-10-27
29,2010 Mazda 2 1.5 Sports Groove รถเก๋ง 5 ประตู ออกรถ 0 บาท,"189,000
                                            
","80,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-sports-groove-bangkok/010-รถเก๋ง-5-ประตู-ออกรถ-0-บาท-aid24381702
",2023-10-27
30,2016 Mazda 3 2.0 S รถเก๋ง 5 ประตู,"419,000
                                            

                                                ฿399,000
                                            
","112,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-s-bangkok/2016-รถเก๋ง-5-ประตู-aid24397132
",2023-10-27
31,2017 Mazda 2 1.5 XD High Plus รถเก๋ง 5 ประตู,"418,000
                                            
","150,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-xd-high-plus-bangkok/017-รถเก๋ง-5-ประตู-aid24407722
",2023-10-27
32,2016 Mazda 2 1.3 High Plus รถเก๋ง 5 ประตู,"359,000
                                            
","140,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-plus-bangkok/016-รถเก๋ง-5-ประตู-aid24407742
",2023-10-27
33,"MAZDA 2 SKY ACTIV 1.3 S LEATHER (MNC) 2020 A/T รุ่นMINORCHANGE ไมล์แท้56,xxxโล รถมือเดียว","459,000
                                            
","56,150",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป รามคำแหง
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-leather-bangkok/sky-activ-mnc-00-a-t-รุ่น-minorchange-ไมล์แท้-56-xxx-โล-รถมือเดียว-aid24337002
",2023-10-27
34,"MAZDA 2 SKY ACTIV 1.3 S LEATHER (MNC) 2022 A/T รุ่นMINORCHANGE รถปี2022 ไมล์น้อย15,xxxโล","479,000
                                            
","15,913",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป รามคำแหง
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-leather-bangkok/sky-activ-mnc-0-a-t-รุ่น-minorchange-รถปี-0-ไมล์น้อย-15-xxx-โล-aid24337022
",2023-10-27
35,"MAZDA 2 SKY ACTIV 1.3 S LEATHER (MNC) 2022 A/T รถปี2022 รุ่นMINORCHANGE ไมล์น้อย36,xxxโล","469,000
                                            
","36,069",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป รามคำแหง
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-leather-bangkok/sky-activ-mnc-0-a-t-รถปี-0-รุ่น-minorchange-ไมล์น้อย-36-xxx-โล-aid24337192
",2023-10-27
36,2019 Mazda 2 1.3 High Plus รถเก๋ง 4 ประตู  มือสอง คุณภาพดี ราคาถูก,"429,000
                                            

                                                ฿399,000
                                            
","48,000",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-plus-bangkok/019-รถเก๋ง-4-ประตู-มือสอง-คุณภาพดี-ราคาถูก-aid24206162
",2023-10-27
37,ขาย รถมือสอง 2022 Mazda 2 1.3 S LEATHER รถเก๋ง 5 ประตู  รถสภาพดี มีประกัน,"499,000
                                            

                                                ฿479,000
                                            
","15,000",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-leather-bangkok/ขาย-รถมือสอง-0-รถเก๋ง-5-ประตู-รถสภาพดี-มีประกัน-aid24209692
",2023-10-27
38,🔥ฟรีทุกค่าดำเนินการ🔥2022 Mazda 2 1.3 S LEATHER รถเก๋ง 5 ประตู,"479,000
                                            

                                                ฿469,000
                                            
","16,000",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-leather-bangkok/ฟรีทุกค่าดำเนินการ-0-รถเก๋ง-5-ประตู-aid24211892
",2023-10-27
39,🔥ฟรีทุกค่าดำเนินการ🔥2021 Mazda 2 1.3 S LEATHER รถเก๋ง 4 ประตู,"454,000
                                            
","55,742",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-leather-bangkok/ฟรีทุกค่าดำเนินการ-01-รถเก๋ง-4-ประตู-aid24225202
",2023-10-27
40,2019 Mazda 2 1.3 High Connect รถเก๋ง 5 ประตู,"389,000
                                            
","62,684",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-connect-bangkok/019-รถเก๋ง-5-ประตู-aid24282712
",2023-10-27
41,2018 Mazda 3 2.0 S Sports รถเก๋ง 5 ประตู,"499,000
                                            
","136,953",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-s-sports-bangkok/2018-รถเก๋ง-5-ประตู-aid24282792
",2023-10-27
42,2018 Mazda 3 2.0 S Sports รถเก๋ง 5 ประตู,"539,000
                                            
","73,570",เกียร์อัตโนมัติ,"

                                                บอยออโต้กรุ๊ป
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-s-sports-bangkok/2018-รถเก๋ง-5-ประตู-aid24410882
",2023-10-27
43,2Z14 MAZDA CX-30  2.0 SP  SUNROOF AT 2020,"744,000
                                            
","122,000",เกียร์อัตโนมัติ,"

                                                บีบีสมาร์ทคาร์ 2 สาขาแคราย
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-30-2-0-sp-bangkok/2z14-sunroof-at-2020-aid24195412
",2023-10-27
44,2Z23 MAZDA 3   2.0 C 5DR  AT  2017,"439,000
                                            
","130,000",เกียร์อัตโนมัติ,"

                                                บีบีสมาร์ทคาร์ 2 สาขาแคราย
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-c-bangkok/2z2-5dr-at-2017-aid24207492
",2023-10-27
45,2Z10 MAZDA  2  1.3 S   5DR   AT  2021,"459,000
                                            
","26,000",เกียร์อัตโนมัติ,"

                                                บีบีสมาร์ทคาร์ 2 สาขาแคราย
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-bangkok/z10-5dr-at-01-aid24215722
",2023-10-27
46,ขายรถ Mazda 2 1.3 High Connect ปี2018  รถเก๋ง 5 ประตู,"319,000
                                            
","142,382",เกียร์อัตโนมัติ,"

                                                รถบ้านพนาสนธ์ หทัยราษฎร์12
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-connect-bangkok/ขายรถ-ปี-018-รถเก๋ง-5-ประตู-aid24208382
",2023-10-27
47,3E83 MAZDA CX-3 2.0 SP AT 2017,"459,000
                                            
","105,000",เกียร์อัตโนมัติ,"

                                                บีบี สมาร์ทคาร์3 (ถ.กาญจนาภิเษก เดอะเบส 5 )
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-3-2-0-sp-bangkok/3e83-at-2017-aid24359622
",2023-10-27
48,1A568 MAZDA  2  1.3 HI-CONNECT 5DR. 2018,"359,000
                                            
","50,000",เกียร์อัตโนมัติ,"

                                                บีบี สมาร์ทคาร์1 (สี่แยกมไหสวรรค์)
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-connect-bangkok/1a568-1-3-hi-connect-5dr-018-aid24381142
",2023-10-27
49,2018 Mazda CX-5 2.0 S SUV เจ้าของขายเอง,"689,000
                                            
","130,000",เกียร์อัตโนมัติ,"

                                                PRO รถบ้าน
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-5-2-0-s-bangkok/2018-suv-เจ้าของขายเอง-aid24207812
",2023-10-27
50,2016 Mazda 3 2.0 S Sports รถเก๋ง 5 ประตู รถบ้านแท้,"419,000
                                            
","90,000",เกียร์อัตโนมัติ,"

                                                PRO รถบ้าน
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-s-sports-bangkok/2016-รถเก๋ง-5-ประตู-รถบ้านแท้-aid24308692
",2023-10-27
51,2019 Mazda 3 2.0 S รถเก๋ง 4 ประตู  รถบ้านมือเดียว,"529,000
                                            
","130,000",เกียร์อัตโนมัติ,"

                                                PRO รถบ้าน
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-s-bangkok/2019-รถเก๋ง-4-ประตู-รถบ้านมือเดียว-aid24311022
",2023-10-27
53,"🔥 Mazda 2 1.3 Skyactiv High Plus ผ่อน 5,xxx ฟรี! ทดลองขับถึงบ้าน","379,100
                                            
","26,647",เกียร์อัตโนมัติ,"

                                                Cars24
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-plus-bangkok/1-3-skyactiv-high-plus-ผ่อน-5-xxx-ฟรี-ทดลองขับถึงบ้าน-aid24245252
",2023-10-27
54,3D45 Mazda 3 2.0 C รถเก๋ง 4 ประตู ปี 2019,"469,000
                                            
","205,000",เกียร์อัตโนมัติ,"

                                                บีบี สมาร์ทคาร์3 (ถ.กาญจนาภิเษก เดอะเบส 5 )
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-c-sports-bangkok/d45-2-0-c-รถเก๋ง-4-ประตู-ปี-2019-aid24407052
",2023-10-27
55,3E91 MAZDA 2  1.3 HIGH CONNECT / 5DR AT 2019,"369,000
                                            
","100,000",เกียร์อัตโนมัติ,"

                                                บีบี สมาร์ทคาร์3 (ถ.กาญจนาภิเษก เดอะเบส 5 )
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-connect-bangkok/3e91-5dr-at-019-aid24391572
",2023-10-27
56,3F03 MAZDA 3  2.0 SPORT SUNROOF / 5DR AT 2007,"129,000
                                            
","200,000",เกียร์อัตโนมัติ,"

                                                บีบี สมาร์ทคาร์3 (ถ.กาญจนาภิเษก เดอะเบส 5 )
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-r-sport-bangkok/f0-2-0-sport-sunroof-5dr-at-2007-aid24391592
",2023-10-27
57,MAZDA 2 1.3 S LEATHER ปี 2020 รถบ้าน มือแรกออกห้าง สภาพป้ายแดง ไมล์น้อย 4 หมื่นโล รับประกันตัวถังสวย,"428,000
                                            
","40,000",เกียร์อัตโนมัติ,"

                                                KB auto
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-leather-bangkok/ปี-00-รถบ้าน-มือแรกออกห้าง-สภาพป้ายแดง-ไมล์น้อย-4-หมื่นโล-รับประกันตัวถังสวย-aid24346382
",2023-10-27
58,2018 Mazda 2 Skyactiv 1.3 High Connect รุ่นรองท้อป รถมือเดียว ไมล์น้อย ตรวจสอบเช็คศูนย์ได้,"379,000
                                            
","70,000",เกียร์อัตโนมัติ,"

                                                ธนบุรีสมาร์ทคาร์
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-connect-bangkok/018-skyactiv-รุ่นรองท้อป-รถมือเดียว-ไมล์น้อย-ตรวจสอบเช็คศูนย์ได้-aid24413812
",2023-10-27
59,2010 Mazda 2 1.5 Groove รถเก๋ง 4 ประตู,"159,000
                                            
","120,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",ราชบุรี,chobrod,"car-mazda-2-1-5-groove-ratchaburi/010-รถเก๋ง-4-ประตู-aid24413702
",2023-10-27
60,2020 Toyota Yaris Ativ 1.2 G รถเก๋ง 4 ประตู,"398,000
                                            
","50,000",เกียร์อัตโนมัติ,"

                                                Luxury car
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-high-connect-bangkok/018-รถเก๋ง-4-ประตู-ฟรีดาวน์-aid24413742
",2023-10-27
61,Mazda 3 2.0 S Sport ปี : 2015 รถบ้าน พร้อมเล่ม,"369,000
                                            
","167,000",เกียร์อัตโนมัติ,"

                                                One2Auto
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-s-sports-bangkok/2-0-s-sport-ปี-2015-รถบ้าน-พร้อมเล่ม-aid24204482
",2023-10-27
62,"Mazda 2 1.3 HIGHT CONNECT 2019 ผ่อน 6,xxx ฟรี! ทดลองขับ ประกันเครื่องเกียร์","389,000
                                            
","40,573",เกียร์อัตโนมัติ,"

                                                Carro Chonburi
                                            
",ชลบุรี,chobrod,"car-mazda-2-1-3-high-connect-chonburi/1-3-hight-connect-019-ผ่อน-6-xxx-ฟรี-ทดลองขับ-ประกันเครื่องเกียร์-aid24397382
",2023-10-27
63,"Mazda 2 1.3 SKYACTIV-G S LEATHER SPORTS 2019 ผ่อน 7,xxx ฟรี! ทดลองขับถึงบ้าน","449,000
                                            
","24,915",เกียร์อัตโนมัติ,"

                                                Carro Chonburi
                                            
",ชลบุรี,chobrod,"car-mazda-2-1-3-s-sports-leather-chonburi/1-3-skyactiv-g-s-leather-sports-019-ผ่อน-7-xxx-ฟรี-ทดลองขับถึงบ้าน-aid24398292
",2023-10-27
64,2016 Mazda CX-5 2.0 S SUV ออกรถง่าย,"499,000
                                            
","160,000",เกียร์อัตโนมัติ,"

                                                รถบ้านคุณฉัตรชัย
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-5-2-0-s-bangkok/2016-suv-ออกรถง่าย-aid24392802
",2023-10-27
65,ขาย รถมือสอง 2008 Mazda 3 1.6 Spirit Sports รถเก๋ง 5 ประตู,"169,000
                                            
","151,000",เกียร์อัตโนมัติ,"

                                                มหาเศรษฐี ออโต้
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-1-6-spirit-sports-bangkok/ขาย-รถมือสอง-2008-รถเก๋ง-5-ประตู-aid24293232
",2023-10-27
66,MAZDA 2 1.5 MAXX 2012 รถบ้าน มือเดียว สภาพดี,"238,000
                                            

ราคาดาวน์ ฿0

","121,843",เกียร์อัตโนมัติ,"

                                                บริษัท ตลาดรถมือ 2 จำกัด 
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-elegance-maxx-bangkok/1-5-maxx-01-รถบ้าน-มือเดียว-สภาพดี-aid24339572
",2023-10-27
67,MAZDA 2 1.5 SPIRIT 2013 รถบ้าน มือเดียว สภาพดี,"238,000
                                            

ราคาดาวน์ ฿0

","37,353",เกียร์อัตโนมัติ,"

                                                บริษัท ตลาดรถมือ 2 จำกัด 
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-elegance-spirit-bangkok/1-5-spirit-013-รถบ้าน-มือเดียว-สภาพดี-aid24339592
",2023-10-27
68,MAZDA 2 1.5 XD HIGH PLUS 2015 รถบ้าน มือเดียว สภาพดี,"348,000
                                            

ราคาดาวน์ ฿0

","178,387",เกียร์อัตโนมัติ,"

                                                บริษัท ตลาดรถมือ 2 จำกัด 
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-xd-high-plus-bangkok/015-รถบ้าน-มือเดียว-สภาพดี-aid24339622
",2023-10-27
69,ขายรถ Mazda 2 1.5 XD Sports High Connect 5DR ปี 2017 สีแดง,"379,000
                                            

ราคาดาวน์ ฿0

","133,000",เกียร์อัตโนมัติ,"

                                                เต็นท์ คุณแหม่ม
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-5-xd-sports-high-connect-bangkok/ขายรถ-5dr-ปี-017-สีแดง-aid24329582
",2023-10-27
70,"🔥 Mazda 3 2.0 Sp Sports ผ่อน 8,xxx ฟรี! ทดลองขับถึงบ้าน","535,000
                                            
","72,580",เกียร์อัตโนมัติ,"

                                                Cars24
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-sp-sports-bangkok/ผ่อน-8-xxx-ฟรี-ทดลองขับถึงบ้าน-aid24413452
",2023-10-27
71,2023 Mazda 2 1.3 C รถเก๋ง 4 ประตู,"459,000
                                            

ราคาดาวน์ ฿0

","7,173",เกียร์อัตโนมัติ,"

                                                คุณเมธี
                                            
",นครราชสีมา,chobrod,"car-mazda-2-1-3-c-nakhonratchasima/03-รถเก๋ง-4-ประตู-aid24413022
",2023-10-27
72,2018 Mazda CX-5 2.0 SP SUV  รถบ้านมือเดียว รถสวยเดิมทุกชิ้น เข้าศูนย์เช็คประวัติได้,"697,000
                                            
","127,000",เกียร์อัตโนมัติ,"

                                                จุฑารัตน์ เจริญกุล
                                            
",สุราษฎร์ธานี,chobrod,"car-mazda-cx-5-2-0-sp-suratthani/2018-suv-รถบ้านมือเดียว-รถสวยเดิมทุกชิ้น-เข้าศูนย์เช็คประวัติได้-aid24354012
",2023-10-27
