Version,generalInfo,distance,update,cost
"2021 MAZDA MAZDA2, 1.3 S โฉม ปี14-ปัจจุบัน 4Dr",สีแดง เกียร์ออโต้ ทะเบียน กอ1855 กรุงเทพฯ,"41,000 ",อัพเดท  4 ชม. ผู้เข้าชม  1831,"434,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,635
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง627"
"2021 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 4ขต7464 กรุงเทพฯ,"19,153 ",อัพเดท  8 ชม. ผู้เข้าชม  4156,"438,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,697
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sports High Connect โฉม ปี14-ปัจจุบัน 5Dr",สีขาว เกียร์ออโต้ ทะเบียน 3ขอ8471 กรุงเทพฯ,"40,000 ",อัพเดท  2 สัปดาห์ ผู้เข้าชม  4123,"439,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,712
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง620"
"2021 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สีดำ เกียร์ออโต้ ทะเบียน 1ขล7254 กรุงเทพฯ,"56,900 ",อัพเดท  7 ชม. ผู้เข้าชม  2557,"445,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,805
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีเทา เกียร์ออโต้ ทะเบียน ขล598 กรุงเทพฯ,"12,000 ",อัพเดท  3 ชม. ผู้เข้าชม  489,"449,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,867
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีขาว เกียร์ออโต้ ทะเบียน 3กก7700 กรุงเทพฯ,"40,000 ",อัพเดท  6 ชม. ผู้เข้าชม  4348,"449,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,867
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีขาว เกียร์ออโต้ ทะเบียน 1ขศ9044 กรุงเทพฯ,"66,000 ",อัพเดท  4 ชม. ผู้เข้าชม  4783,"449,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,867
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน ญธ4449 กรุงเทพฯ,"44,000 ",อัพเดท  3 ชม. ผู้เข้าชม  1379,"458,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







5,851
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีขาว เกียร์ออโต้ ทะเบียน 2ขง8605 กรุงเทพฯ,"14,248 ",อัพเดท  6 ชม. ผู้เข้าชม  792,"459,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







5,867
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีขาว เกียร์ออโต้ ทะเบียน 1ขศ3554 กรุงเทพฯ,"68,558 ",อัพเดท  1 วัน ผู้เข้าชม  1125,"459,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







5,867
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีขาว เกียร์ออโต้ ทะเบียน 1ขว3546 กรุงเทพฯ,"60,000 ",อัพเดท  1 สัปดาห์ ผู้เข้าชม  2518,"459,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







5,867
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สี เกียร์ออโต้ ทะเบียน 2ขช475 กรุงเทพฯ,"33,639 ",อัพเดท  5 ชม. ผู้เข้าชม  2706,"459,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







5,867
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สี เกียร์ออโต้ ทะเบียน ขน5247 ระยอง,"55,742 ",อัพเดท  5 ชม. ผู้เข้าชม  2720,"464,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







5,944
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีขาว เกียร์ออโต้ ทะเบียน จข5838 กรุงเทพฯ,"51,600 ",อัพเดท  6 ชม. ผู้เข้าชม  3221,"465,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







5,960
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 SP โฉม ปี14-ปัจจุบัน 4Dr",สีแดง เกียร์ออโต้ ทะเบียน 2ขง9619 กรุงเทพฯ,"47,316 ",อัพเดท  2 วัน ผู้เข้าชม  2242,"469,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







6,022
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง690"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีแดง เกียร์ออโต้ ทะเบียน 2ขญ3385 กรุงเทพฯ,"28,000 ",อัพเดท  3 ชม. ผู้เข้าชม  2568,"469,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







6,022
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีแดง เกียร์ออโต้ ทะเบียน 2ขญ3385 กรุงเทพฯ,"28,329 ",อัพเดท  7 ชม. ผู้เข้าชม  2653,"469,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







6,022
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีขาว เกียร์ออโต้ ทะเบียน กท2193 สุโขทัย,"13,138 ",อัพเดท  12 ชม. ผู้เข้าชม  2930,"479,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








80,000
ดาวน์







6,176
ผ่อน



หารถโฉมนี้ที่ดาวน์ 80,000บ.


ราคาป้ายแดง648"
