id,title,price,brand,subversion,version,subtype,cartype,year,distance,fuel,gear,color,gas,seller,address,web,webid,date
341,ขาย|มือสอง,"159,000",Mazda,1.5 Groove,1.5 Groove,Sedan,Sedan,2010,"120,000",เบนซิน,เกียร์ธรรมดา,ดำ,ไม่ติดแก๊ส,อรวรรณ จงจิตร (โทร 085-916-2524 ),ทวีวัฒนา กรุงเทพมหานคร,rodkaidee,"/product-368649718
",2023-10-28
342,ขาย|มือสอง,"390,700",Mazda,1.3 High Connect,1.3 High Connect,Sedan,Sedan,2019,"73,377",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,Cars24,บางกะปิ กรุงเทพมหานคร,rodkaidee,"/product-368649440
",2023-10-28
343,ขาย|มือสอง,"229,000",Mazda,1.5 Maxx Sports,1.5 Maxx Sports,Hatchback,Sedan,2012,"73,377",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,ขุมทรัพย์ รถบ้านคุณภาพดี,ตลิ่งชัน กรุงเทพมหานคร,rodkaidee,"/product-367495068
",2023-10-28
344,ขาย|มือสอง,"459,000",Mazda,2.0 C,2.0 C,SUV,Utility-car,2016,"73,377",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,ขุมทรัพย์ รถบ้านคุณภาพดี,ตลิ่งชัน กรุงเทพมหานคร,rodkaidee,"/product-367953018
",2023-10-28
345,ขาย|มือสอง,"189,000",Mazda,1.5 Sports Groove,1.5 Sports Groove,Sedan,Sedan,2013,"73,377",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,รถสวยจ่าเจต,บางนา กรุงเทพมหานคร,rodkaidee,"/product-368649020
",2023-10-28
346,ขาย|มือสอง,"199,000",Mazda,2.0 Maxx Sports,2.0 Maxx Sports,Hatchback,Sedan,2014,"73,377",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,รถสวยจ่าเจต,บางนา กรุงเทพมหานคร,rodkaidee,"/product-368648999
",2023-10-28
347,ขาย|มือสอง,"388,000",Mazda,2.0 C,2.0 C,SUV,Utility-car,2013,107,เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,84 CARCENTER,ตลิ่งชัน กรุงเทพมหานคร,rodkaidee,"/product-368463369
",2023-10-28
348,ขาย|มือสอง,"215,000",Mazda,1.5 Elegance Groove,1.5 Elegance Groove,Sedan,Sedan,2012,"168,906",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,mukkybrandname,ธัญบุรี ปทุมธานี,rodkaidee,"/product-368570025
",2023-10-28
349,ขาย|มือสอง,"751,500",Mazda,2.0 SP,2.0 SP,SUV,Utility-car,2018,"119,819",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,Cars24,บางกะปิ กรุงเทพมหานคร,rodkaidee,"/product-368647225
",2023-10-28
350,ขาย|มือสอง,"448,000",Mazda,2.0 SP,2.0 SP,MPV,Utility-car,2019,"40,000",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,Impact auto car,ตลิ่งชัน กรุงเทพมหานคร,rodkaidee,"/product-368647203
",2023-10-28
351,ขาย|มือสอง,"488,600",Mazda,2.0 SP,2.0 SP,SUV,Utility-car,2016,"117,116",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,Cars24,บางพลัด กรุงเทพมหานคร,rodkaidee,"/product-368647114
",2023-10-28
352,ขาย|มือสอง,"398,700",Mazda,1.3 High Connect,1.3 High Connect,Sedan,Sedan,2019,"40,048",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,Cars24,ลาดพร้าว กรุงเทพมหานคร,rodkaidee,"/product-368646913
",2023-10-28
353,ขาย|มือสอง,"578,000",Mazda,2.0 E,2.0 E,MPV,Utility-car,2022,"30,000",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,Impact auto car,ตลิ่งชัน กรุงเทพมหานคร,rodkaidee,"/product-368646896
",2023-10-28
354,ขาย|มือสอง,"395,000",Mazda,1.3 Sports High Connect,1.3 Sports High Connect,Sedan,Sedan,2019,"37,000",เบนซิน,เกียร์อัตโนมัติ,ดำ,ไม่ติดแก๊ส,M2764468,แม่จัน เชียงราย,rodkaidee,"/product-368344551
",2023-10-28
355,ขาย|มือสอง,"469,000",Mazda,1.5 XDL,1.5 XDL,Hatchback,Sedan,2018,"180,000",ดีเซล,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,28's Car,สายไหม กรุงเทพมหานคร,rodkaidee,"/product-368645490
",2023-10-28
356,ขาย|มือสอง,"449,000",Mazda,1.3 C,1.3 C,Sedan,Sedan,2022,"9,613",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,สหยานยนต์,เมืองนนทบุรี นนทบุรี,rodkaidee,"/product-368645422
",2023-10-28
357,ขาย|มือสอง,"349,000",Mazda,1.5 XD High Connect,1.5 XD High Connect,Sedan,Sedan,2016,"98,000",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ไม่ติดแก๊ส,Prostar Auto Car88,บางบัวทอง นนทบุรี,rodkaidee,"/product-368645340
",2023-10-28
358,ขาย|มือสอง,"659,000",Mazda,2.0 SP,2.0 SP,SUV,Utility-car,2018,"180,000",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,Prostar Auto Car88,บางบัวทอง นนทบุรี,rodkaidee,"/product-368644855
",2023-10-28
359,ขาย|มือสอง,"459,000",Mazda,1.3 C,1.3 C,Sedan,Sedan,2023,"7,173",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,สหยานยนต์,เมืองนนทบุรี นนทบุรี,rodkaidee,"/product-368644556
",2023-10-28
360,ขาย|มือสอง,"148,000",Mazda,1.6 Spirit Sports Plus,1.6 Spirit Sports Plus,Commercial-van,Van,2007,"142,205",เบนซิน,เกียร์อัตโนมัติ,ดำ,ไม่ติดแก๊ส,Yim,บางขุนเทียน กรุงเทพมหานคร,rodkaidee,"/product-368644454
",2023-10-28
361,ขาย|มือสอง,"366,000",Mazda,2.0 S,2.0 S,Sedan,Sedan,2014,"169,968",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,Cars24,พระโขนง กรุงเทพมหานคร,rodkaidee,"/product-368644202
",2023-10-28
362,ขาย|มือสอง,"459,700",Mazda,2.0 S Sports,2.0 S Sports,Hatchback,Sedan,2017,"94,457",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,Cars24,ลาดกระบัง กรุงเทพมหานคร,rodkaidee,"/product-368644123
",2023-10-28
363,ขาย|มือสอง,"450,000",Mazda,2.0 S,2.0 S,Sedan,Sedan,2018,"30,000",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,M6735455,เมืองนครปฐม นครปฐม,rodkaidee,"/product-368643693
",2023-10-28
364,ขาย|มือสอง,"298,000",Mazda,2.0 C,2.0 C,Sedan,Sedan,2014,"173,284",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,ออโต้ลีก,ปากเกร็ด นนทบุรี,rodkaidee,"/product-366989756
",2023-10-28
365,ขาย|มือสอง,"348,000",Mazda,2.0 S Sports,2.0 S Sports,Hatchback,Sedan,2014,"79,504",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,ออโต้ลีก,ปากเกร็ด นนทบุรี,rodkaidee,"/product-368059626
",2023-10-28
366,ขาย|มือสอง,"220,000",Mazda,2.0 Maxx Sports,2.0 Maxx Sports,Hatchback,Sedan,2011,"60,000",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,M6735455,เมืองนครปฐม นครปฐม,rodkaidee,"/product-368643106
",2023-10-28
367,ขาย|มือสอง,"138,000",Mazda,1.5 Maxx Sports,1.5 Maxx Sports,Hatchback,Sedan,2012,"190,000",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,จ่าชัช ออโต้คาร์,เสลภูมิ ร้อยเอ็ด,rodkaidee,"/product-368642782
",2023-10-28
368,ขาย|มือสอง,"328,000",Mazda,2.2 Hi-Racer,2.2 Hi-Racer,Smart-cab,Pickup,2017,"66,695",ดีเซล,เกียร์ธรรมดา,น้ำตาล,ไม่ติดแก๊ส,84 CARCENTER,ตลิ่งชัน กรุงเทพมหานคร,rodkaidee,"/product-367022034
",2023-10-28
369,ขาย|มือสอง,"378,000",Mazda,1.3 High Connect,1.3 High Connect,Smart-cab,Sedan,2018,"71,892",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,คุณเอก,ตลิ่งชัน กรุงเทพมหานคร,rodkaidee,"/product-367561503
",2023-10-28
370,ขาย|มือสอง,"415,400",Mazda,1.3 Sports High Plus,1.3 Sports High Plus,Hatchback,Sedan,2019,"68,373",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,Cars24,ภาษีเจริญ กรุงเทพมหานคร,rodkaidee,"/product-368638788
",2023-10-28
